모집구분,관리소명,모집공고명,모집공고일,당첨자발표일,문의전화,전용면적,모집호수, 계약금 , 잔금 , 월임대료 
임대상가,서울우면관리소,서울우면단지 임대상가 입점자 모집 공고(105호),2020-01-28,개별통보,02-578-0503,32.1,1,5459000 ,21836000 ,584030 
임대상가,청주산남2-1관리소,청주산남2-1 주거복지동 임대상가 입점자 모집공고,2020-01-29,2020-02-06,043-285-0034,39.71,1,1440000 ,5760000 ,300000 
임대상가,청주산남2-1관리소,청주산남2-1 주거복지동 임대상가 입점자 모집공고,2020-01-29,2020-02-06,043-285-0034,37.5,1,1358000 ,5434000 ,283000 
임대상가,청주산남2-1관리소,청주산남2-1 주거복지동 임대상가 입점자 모집공고,2020-01-29,2020-02-06,043-285-0034,37.91,1,1373000 ,5491000 ,286000 
임대상가,청주산남2-1관리소,청주산남2-1 주거복지동 임대상가 입점자 모집공고,2020-01-29,2020-02-06,043-285-0034,40.28,1,1459000 ,5837000 ,304000 
임대상가,청주산남2-1관리소,청주산남2-1 주거복지동 임대상가 입점자 모집공고,2020-01-29,2020-02-06,043-285-0034,40.8,1,1478000 ,5914000 ,308000 
임대상가,청주산남2-1관리소,청주산남2-1 주거복지동 임대상가 입점자 모집공고,2020-01-29,2020-02-06,043-285-0034,42,1,1522000 ,6086000 ,317000 
임대상가,군산나운4관리소,군산나운4 임대상가 입점자 모집공고(4호),2020-01-29,2020-02-07,063-465-8264,583.4,1,7060000 ,28244000 ,1471000 
임대상가,군산나운4관리소,군산나운4 임대상가 입점자 모집공고(4호),2020-01-29,2020-02-07,063-465-8264,37.41,1,1857000 ,7431000 ,387000 
임대상가,군산나운4관리소,군산나운4 임대상가 입점자 모집공고(4호),2020-01-29,2020-02-07,063-465-8264,37.41,1,1857000 ,7431000 ,387000 
임대상가,군산나운4관리소,군산나운4 임대상가 입점자 모집공고(4호),2020-01-29,2020-02-07,063-465-8264,37.49,1,1862000 ,7450000 ,388000 
임대상가,전주평화1관리소,전주평화1아파트 임대상가 입점자 모집 공고,2020-01-30,2020-02-13,063-285-6946,50.08,1,1545000 ,6183000 ,322000 
임대상가,전주평화1관리소,전주평화1아파트 임대상가 입점자 모집 공고,2020-01-30,2020-02-13,063-285-6946,35.13,1,1084000 ,4340000 ,226000 
임대상가,분당목련1관리소,"분당목련1단지 종합상가 108호, 109호 입점자 모집공고",2020-02-03,2020-02-13,031-705-3039,20.9,1,1470000 ,5881000 ,306320 
임대상가,분당목련1관리소,"분당목련1단지 종합상가 108호, 109호 입점자 모집공고",2020-02-03,2020-02-13,031-705-3039,20.9,1,1470000 ,5881000 ,306320 
임대상가,부산모라3관리소,"부산모라3단지 임대상가 모집공고(가상가-109호,가상가-208호)  ",2020-02-05,2020-02-12,051-304-3225,39.33,1,2347000 ,9389000 ,489000 
임대상가,부산모라3관리소,"부산모라3단지 임대상가 모집공고(가상가-109호,가상가-208호)  ",2020-02-05,2020-02-12,051-304-3225,54.51,1,1512000 ,6048000 ,315000 
임대상가,서귀포동홍3관리소,서귀포동홍3 임대상가 입점자 모집 공고,2020-02-06,2020-02-20,064-732-0729,31.84,1,370000 ,1482000 ,77170 
임대상가,서울등촌1관리소,"등촌1단지 임대 상가 모집공고 (7701동 101호, 110호)",2020-02-11,2020-02-26,02-2658-5000,28.5,1,4288000 ,17156000 ,387730 
임대상가,서울등촌1관리소,"등촌1단지 임대 상가 모집공고 (7701동 101호, 110호)",2020-02-11,2020-02-26,02-2658-5000,20.9,1,3223000 ,12896000 ,289450 
임대상가,대구월성3관리소,대구월성3 임대상가 입점자 모집 공고 ,2020-02-12,2020-02-21,053-633-8858,39.33,1,2384000 ,9536000 ,470610 
임대상가,여수문수1관리소,여수문수 영구임대상가 입점자 모집공고,2020-02-13,2020-02-20,061-653-1954,28.88,1,1225000 ,4904000 ,170270 
임대상가,여수문수1관리소,여수문수 영구임대상가 입점자 모집공고,2020-02-13,2020-02-20,061-653-1954,19.25,1,817000 ,3268000 ,113490 
임대상가,여수문수1관리소,여수문수 영구임대상가 입점자 모집공고,2020-02-13,2020-02-20,061-653-1954,27.5,1,1274000 ,5100000 ,177060 
임대상가,부산덕천2관리소,미임대상가 모집공고,2020-02-13,2020-02-27,051-331-6454,37.26,1,1555000 ,6221000 ,324000 
임대상가,부산반송관리소,부산반송주공 임대상가 입점자 모집공고,2020-02-13,2020-03-13,051-542-7784,28.5,1,940000 ,3764000 ,196000 
임대상가,부산반송관리소,부산반송주공 임대상가 입점자 모집공고,2020-02-13,2020-03-13,051-542-7784,33.51,1,585000 ,2343000 ,122000 
임대상가,남원노암관리소,남원노암 임대상가 입점자 모집공고,2020-02-13,2020-02-18,063-625-1939,32.1,3,1200000 ,4800000 ,250000 
임대상가,광주쌍촌관리소,영구임대상가 임점자 모집공고,2020-02-14,2020-02-28,062-371-1510,38.04,1,1328000 ,5315000 ,184550 
임대상가,진해자은관리소,진해자은 1단지 상가 103호 예비입점자 모집 공고,2020-02-14,2020-02-28,055-546-7305,32.1,1,1147600 ,4590400 ,159400 
임대상가,진주평거2관리소,진주평거2 임대상가 입점자 모집 공고 ,2020-02-14,2020-02-24,055-746-4570,126.65,1,1666000 ,6668000 ,231500 
임대상가,익산동산관리소,임대상가 모집공고,2020-02-18,2020-02-24,063-855-9638,37.9,1,974000 ,3898000 ,203000 
임대상가,인천연수1관리소,임대상가 입점자 모집공고  ,2020-02-18,2020-02-18,032-811-0437,34.41,1,2660000 ,10641000 ,554240 
임대상가,인천연수1관리소,임대상가 입점자 모집공고  ,2020-02-18,2020-02-18,032-811-0437,54.51,1,2013000 ,8055000 ,419530 
임대상가,공주옥룡1관리소,공주옥룡 1단지 임대상가 입점자 모집공고 ,2020-02-20,2020-02-28,041-856-5898,27.75,1,1967800 ,7871200 ,273310 
임대상가,공주옥룡1관리소,공주옥룡 1단지 임대상가 입점자 모집공고 ,2020-02-20,2020-02-28,041-856-5898,23.13,1,1639800 ,6559200 ,227760 
임대상가,대전산내관리소,대전산내 임대상가 입점자 모집공고,2020-02-20,2020-02-28,042-271-8241,126.65,1,1841000 ,7364000 ,255690 
임대상가,대전산내관리소,대전산내 임대상가 입점자 모집공고,2020-02-20,2020-02-28,042-271-8241,31.84,1,2046000 ,8184000 ,284180 
임대상가,대전산내관리소,대전산내 임대상가 입점자 모집공고,2020-02-20,2020-02-28,042-271-8241,31.84,4,753000 ,3014000 ,104660 
임대상가,천안성정4관리소,천안성정4단지 임대상가 입점자 모집공고,2020-02-20,2020-02-28,041-575-5171,240.22,1,4702000 ,18808000 ,653080 
임대상가,대전둔산1관리소,대전둔산1 임대상가 입점자 모집공고,2020-02-20,2020-02-28,042-484-2592,37.95,1,2280000 ,9119000 ,316640 
임대상가,대전둔산1관리소,대전둔산1 임대상가 입점자 모집공고,2020-02-20,2020-02-28,042-484-2592,38.04,1,2284000 ,9138000 ,317300 
임대상가,대전둔산1관리소,대전둔산1 임대상가 입점자 모집공고,2020-02-20,2020-02-28,042-484-2592,54.51,2,3324000 ,13297000 ,461710 
임대상가,대전법동3관리소,대전법동3 영구임대 상가 모집공고(지하)  ,2020-02-20,2020-02-28,042-626-6404,583.4,1,13452000 ,53809000 ,1868370 
임대상가,보령명천2관리소,보령명천2단지 임대상가 입점자 모집공고,2020-02-20,2020-02-28,041-936-0653,31.84,1,1026000 ,4015000 ,142530 
임대상가,대전판암4관리소,대전판암4단지 임대상가 입점자 모집공고,2020-02-20,2020-02-28,042-271-0346,37.49,1,3453000 ,13812000 ,479590 
임대상가,대전판암4관리소,대전판암4단지 임대상가 입점자 모집공고,2020-02-20,2020-02-28,042-271-0346,126.65,1,1576000 ,6305000 ,218930 
임대상가,부산금곡4관리소,부산 금곡4 임대상가 입점자 모집공고,2020-02-24,2020-03-09,051-361-2115,28.38,1,998000 ,3994000 ,208000 
임대상가,부산금곡4관리소,부산 금곡4 임대상가 입점자 모집 수정 공고 (202호),2020-02-24,2020-03-09,051-361-2115,28.38,1,998000 ,3994000 ,208000 
임대상가,목포상동1관리소,목포상동1 영구임대상가 입점자 모집공고 안내,2020-02-26,2020-03-11,061-278-2479,31.84,1,487000 ,1948000 ,67640 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,16.61,6,297000 ,1190000 ,61960 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,17.6,7,334000 ,1337000 ,69630 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,33.5,8,637000 ,2552000 ,132910 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,27,11,513000 ,2052000 ,106890 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,12.72,14,225000 ,904000 ,47060 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,14.43,15,257000 ,1030000 ,53660 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,30.38,1,681000 ,2724000 ,141890 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,25.3,13,529000 ,2116000 ,110230 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,23.16,2,492000 ,1972000 ,102670 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,22.54,5,447000 ,1792000 ,93300 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,31.72,1,1970000 ,7882000 ,410520 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,23.37,1,1332000 ,5331000 ,277640 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,23.35,1,1330000 ,6320000 ,277110 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,90.54,1,2655000 ,10620000 ,553130 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1304동 제지층 6호, 7호, 8호, 11호, 14호 1316동 제지층 1호, 11호, 13호 1317동 제지층 2호, 5호, 111호, 204호, 206호) ",2020-02-26,2020-03-11,02-892-1651,54.44,1,1660000 ,6641000 ,345890 
임대상가,인천만수7관리소,인천만수주공7단지 영구임대상가 입점자 모집공고,2020-02-28,2020-03-05,032-462-9901,24.9,1,746000 ,2986000 ,155500 
임대상가,남원노암관리소,남원노암 임대상가 입점자 모집공고,2020-02-28,2020-03-04,063-625-1939,32.1,2,1200000 ,4800000 ,250000 
임대상가,청주산남2-2관리소,청주산남2-2 임대상가 입점자 모집공고,2020-03-02,2020-03-10,043-285-1601,401.5,1,3559200 ,14236800 ,744000 
임대상가,청주산남2-2관리소,청주산남2-2 임대상가 입점자 모집공고,2020-03-02,2020-03-10,043-285-1601,33.15,1,1183200 ,4732800 ,246500 
임대상가,청주산남2-2관리소,청주산남2-2 임대상가 입점자 모집공고,2020-03-02,2020-03-10,043-285-1601,15,1,244800 ,979200 ,51000 
임대상가,서울우면관리소,서울우면단지 임대상가 입점자 모집 공고(105호),2020-03-02,2020-03-13,02-578-0503,32.1,1,5459000 ,21836000 ,584030 
임대상가,분당목련1관리소,분당목련1단지 종합상가 202호 입점자 모집공고,2020-03-11,2020-03-25,031-705-3039,18.38,1,622000 ,2488000 ,129590 
임대상가,부산반송관리소,부산반송주공 임대상가 입점자 모집공고,2020-03-13,2020-03-20,051-542-7784,21.94,1,408000 ,1632000 ,85000 
임대상가,부산반송관리소,부산반송주공 임대상가 입점자 모집공고,2020-03-13,2020-03-20,051-542-7784,33.31,1,619000 ,2477000 ,129000 
임대상가,부산반송관리소,부산반송주공 임대상가 입점자 모집공고,2020-03-13,2020-03-20,051-542-7784,33.15,1,619000 ,2477000 ,129000 
임대상가,인천삼산관리소,인천삼산1(영구임대)단지 임대상가 입점자 모집 공고(201호),2020-04-10,2020-04-17,032-524-0208,85.07,1,3797000 ,15190000 ,527440 
임대상가,수원우만3관리소,수원우만3 임대상가 표준 입점자 모집공고문(복합상가104호),2020-04-13,2020-04-23,031-241-2872,31.84,1,2075000 ,8303000 ,432430 
임대상가,산본주몽1관리소,산본주몽1 영구임대상가(107호) 입점자 모집,2020-04-17,2020-04-27,031-396-6122,23.35,1,2104000 ,8419000 ,438470 
임대상가,울산달동3관리소,울산달동주공3단지 임대상가(210호) 입점자 모집공고(추첨),2020-04-23,2020-05-11,052-275-4125,33.17,1,859200 ,3436800 ,179000 
임대상가,광주두암2관리소,광주두암2 임대상가 입점자 모집,2020-04-23,2020-05-14,062-266-4879,54.51,2,2281000 ,11408000 ,308770 
임대상가,전주평화1관리소,전주평화1아파트 임대상가 입점자 모집 공고,2020-04-23,2020-05-13,063-285-6946,50.08,1,1126000 ,4504000 ,235600 
임대상가,전주평화1관리소,전주평화1아파트 임대상가 입점자 모집 공고,2020-04-23,2020-05-13,063-285-6946,50.08,1,1545000 ,6183000 ,322000 
임대상가,전주평화1관리소,전주평화1아파트 임대상가 입점자 모집 공고,2020-04-23,2020-05-13,063-285-6946,35.13,1,1084000 ,4340000 ,226000 
임대상가,청주산남2-1관리소,청주산남2-1 주거복지동 임대상가 입점자 모집공고,2020-04-27,2020-05-07,043-285-0034,37.5,1,1358000 ,5434000 ,283000 
임대상가,청주산남2-1관리소,청주산남2-1 주거복지동 임대상가 입점자 모집공고,2020-04-27,2020-05-07,043-285-0034,38.63,1,1402000 ,5606000 ,292000 
임대상가,청주산남2-1관리소,청주산남2-1 주거복지동 임대상가 입점자 모집공고,2020-04-27,2020-05-07,043-285-0034,40.28,1,1459000 ,5837000 ,304000 
임대상가,청주산남2-1관리소,청주산남2-1 주거복지동 임대상가 입점자 모집공고,2020-04-27,2020-05-07,043-285-0034,42,1,1522000 ,6086000 ,317000 
임대상가,통영도남관리소,임대상가 205호 입점자 모집공고  ,2020-04-29,2020-05-08,055-646-5397,31.84,1,534000 ,2137000 ,74200 
임대상가,울산달동3관리소,울산달동주공3단지 임대상가(201호) 입점자 모집공고(추첨),2020-04-29,2020-05-15,052-275-4125,61.89,1,1584000 ,6336000 ,330000 
임대상가,서울번동2관리소,서울번동2단지 임대상가 입점자 모집 공고(지하 13호),2020-04-29,2020-05-12,02-987-1462,12.72,13,551000 ,2204000 ,39620 
임대상가,부산모라3관리소,"부산모라3단지 임대상가 모집공고(,나상가-지하,102,202,203,204,205,207호)  ",2020-05-06,2020-05-13,051-304-3225,407.97,1,7200000 ,28800000 ,1500000 
임대상가,부산모라3관리소,"부산모라3단지 임대상가 모집공고(,나상가-지하,102,202,203,204,205,207호)  ",2020-05-06,2020-05-13,051-304-3225,40.39,1,1579000 ,6317000 ,329000 
임대상가,부산모라3관리소,"부산모라3단지 임대상가 모집공고(,나상가-지하,102,202,203,204,205,207호)  ",2020-05-06,2020-05-13,051-304-3225,54.51,1,619000 ,2477000 ,129000 
임대상가,부산모라3관리소,"부산모라3단지 임대상가 모집공고(,나상가-지하,102,202,203,204,205,207호)  ",2020-05-06,2020-05-13,051-304-3225,18.38,1,403000 ,1613000 ,84000 
임대상가,부산모라3관리소,"부산모라3단지 임대상가 모집공고(,나상가-지하,102,202,203,204,205,207호)  ",2020-05-06,2020-05-13,051-304-3225,26.25,1,571000 ,2285000 ,119000 
임대상가,부산모라3관리소,"부산모라3단지 임대상가 모집공고(,나상가-지하,102,202,203,204,205,207호)  ",2020-05-06,2020-05-13,051-304-3225,15,1,326000 ,1306000 ,68000 
임대상가,부산모라3관리소,"부산모라3단지 임대상가 모집공고(,나상가-지하,102,202,203,204,205,207호)  ",2020-05-06,2020-05-13,051-304-3225,26.25,1,571000 ,2285000 ,119000 
임대상가,서울대방1관리소,"서울대방1단지 영구임대상가 입점자 모집 공고(102호, 107호)",2020-05-07,2020-05-20,02-824-9974,16.57,1,4173400 ,16693600 ,360820 
임대상가,서울대방1관리소,"서울대방1단지 영구임대상가 입점자 모집 공고(102호, 107호)",2020-05-07,2020-05-20,02-824-9974,28.5,1,3409200 ,13636800 ,710250 
임대상가,포항학산관리소,포항학산 영구임대상가 입점자 모집공고,2020-05-07,2020-05-25,054-246-0437,137.22,1,979200 ,3916800 ,204000 
임대상가,부산모라1관리소,영구임대상가 입점자 모집(부산모라1),2020-05-11,2020-05-26,051-302-4946,37.49,1,1468000 ,5876000 ,306000 
임대상가,부산모라1관리소,영구임대상가 입점자 모집(부산모라1),2020-05-11,2020-05-26,051-302-4946,583.4,1,6364000 ,25460000 ,1326000 
임대상가,부산모라1관리소,영구임대상가 입점자 모집(부산모라1),2020-05-11,2020-05-26,051-302-4946,21.94,1,820000 ,3284000 ,171000 
임대상가,부산모라1관리소,영구임대상가 입점자 모집(부산모라1),2020-05-11,2020-05-26,051-302-4946,33.31,1,1248000 ,4992000 ,260000 
임대상가,부산모라1관리소,영구임대상가 입점자 모집(부산모라1),2020-05-11,2020-05-26,051-302-4946,33.18,2,782000 ,3130000 ,163000 
임대상가,부산모라1관리소,영구임대상가 입점자 모집(부산모라1),2020-05-11,2020-05-26,051-302-4946,26.25,2,523000 ,2093000 ,109000 
임대상가,부산모라1관리소,영구임대상가 입점자 모집(부산모라1),2020-05-11,2020-05-26,051-302-4946,18.38,1,364000 ,1460000 ,76000 
임대상가,부산모라1관리소,영구임대상가 입점자 모집(부산모라1),2020-05-11,2020-05-26,051-302-4946,33.39,1,667000 ,2669000 ,139000 
임대상가,부산모라1관리소,영구임대상가 입점자 모집(부산모라1),2020-05-11,2020-05-26,051-302-4946,33.51,1,667000 ,2669000 ,139000 
임대상가,인천연수1관리소,임대상가 입점자 모집공고  ,2020-05-12,2020-05-19,032-811-0437,37.41,2,2660000 ,10641000 ,554240 
임대상가,통영도남관리소,임대상가 205호 입점자 모집공고  ,2020-05-13,2020-05-27,055-646-5397,31.84,1,534000 ,2137000 ,74200 
임대상가,순천조례5관리소,순천조례5 임대상가 입점자 모집공고,2020-05-14,2020-05-29,061-721-1643,33.31,1,1763000 ,7052000 ,244870 
임대상가,순천조례5관리소,순천조례5 임대상가 입점자 모집공고,2020-05-14,2020-05-29,061-721-1643,33.15,1,1666000 ,6668000 ,231500 
임대상가,순천조례5관리소,순천조례5 임대상가 입점자 모집공고,2020-05-14,2020-05-29,061-721-1643,23.35,1,1349000 ,5398000 ,187430 
임대상가,순천조례5관리소,순천조례5 임대상가 입점자 모집공고,2020-05-14,2020-05-29,061-721-1643,401.5,1,3448000 ,13792000 ,478900 
임대상가,부산반송관리소,부산반송주공 임대상가 입점자 모집공고,2020-05-15,2020-05-22,051-542-7784,28.5,1,940000 ,3764000 ,196000 
임대상가,부산반송관리소,부산반송주공 임대상가 입점자 모집공고,2020-05-15,2020-05-22,051-542-7784,33.15,1,1089000 ,4359000 ,227000 
임대상가,부산반송관리소,부산반송주공 임대상가 입점자 모집공고,2020-05-15,2020-05-22,051-542-7784,33.51,1,585000 ,2343000 ,122000 
임대상가,부산금곡1관리소,부산금곡1단지 임대상가 입점자 모집공고(모집공고일;2020.05.15),2020-05-15,2020-05-27,051-363-2116,18.98,1,638000 ,2554000 ,133000 
임대상가,영천야사4관리소,영천야사4 임대상가 입점자 모집공고,2020-05-15,2020-05-25,054-334-9043,49.31,1,1144000 ,4576000 ,160900 
임대상가,부산모라3관리소,부산모라3 임대상가 입점자 모집공고(나상가 210호) ,2020-05-19,2020-05-26,051-304-3225,33.39,1,729000 ,2919000 ,152000 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1316동 제지층 1호, 13호, 210호, 1317동 제지층 2호, 5호, 6호, 7호, 11호, 12호, 101호, 102호, 112호, 203호, 206호) ",2020-05-20,2020-06-03,02-892-1651,30.38,1,681000 ,2724000 ,141890 
임대상가,광명하안13관리소,"영구임대상가 모집공고(1316동 제지층 1호, 13호, 210호, 1317동 제지층 2호, 5호, 6호, 7호, 11호, 12호, 101호, 102호, 112호, 203호, 206호) ",2020-05-20,2020-06-03,02-892-1651,25.3,13,529000 ,2116000 ,110230 
